sigla_partido,nome_partido,ideologia_simplificada,ideologia_nuancada,ideol_tamanho_partido
PDT,Partido Democratico Trabalhista,esquerda,centro-esquerda,grande de esquerda
PPS,Partido Popular Socialista,direita,centro-direita,pequeno de centro
PPB,Partido Progressista Brasileiro,direita,direita,grande de direita
PFL,Partido Da Frente Liberal,direita,direita,grande de direita
PSC,Partido Social Cristao,direita,direita,pequeno de direita
PGT,Partido Geral Dos Trabalhadores,direita,direita,pequeno fisiologico
PSDB,Partido Da Social Democracia Brasileira,centro,centro,grande de centro
PRN,Partido Da Reconstrucao Nacional,direita,direita,pequeno de direita
PTB,Partido Trabalhista Brasileiro,direita,direita,grande de direita
PAN,Partido Dos Aposentados Da Nacao,direita,direita,pequeno fisiologico
PRP,Partido Republicano Progressista,direita,direita,pequeno de direita
PMN,Partido Da Mobilizacao Nacional,direita,centro-direita,pequeno fisiologico
PMDB,Partido Do Movimento Democratico Brasileiro,centro,centro,grande de centro
PV,Partido Verde,centro,centro,pequeno de centro
PT,Partido Dos Trabalhadores,esquerda,centro-esquerda,grande de esquerda
PSD*,Partido Social Democratico,direita,direita,pequeno de direita
PSL,Partido Social Liberal,direita,direita,pequeno de direita
PRTB,Partido Renovador Trabalhista Brasileiro,direita,direita,pequeno de direita
PT do B,Partido Trabalhista Do Brasil,direita,direita,pequeno fisiologico
PSB,Partido Socialista Brasileiro,esquerda,centro-esquerda,grande de esquerda
PRONA,Partido Da Reedificacao Da Ordem Nacional,direita,direita,pequeno de direita
PTN,Partido Trabalhista Nacional,direita,direita,pequeno fisiologico
PL,Partido Liberal,direita,centro-direita,grande de direita
PSDC,Partido Social Democrata Cristao,direita,direita,pequeno de direita
PST,Partido Social Trabalhista,direita,direita,pequeno de direita
PC do B,Partido Comunista Do Brasil,esquerda,centro-esquerda,pequeno de esquerda
PSTU,Partido Socialista Dos Trabalhadores Unificado,esquerda,extrema-esquerda,pequeno de esquerda
PSN,Partido Da Solidariedade Nacional,direita,direita,pequeno de direita
PCB,Partido Comunista Brasileiro,esquerda,extrema-esquerda,pequeno de esquerda
PCO,Partido Da Causa Operaria,esquerda,extrema-esquerda,pequeno de esquerda
PTC,Partido Trabalhista Cristao,direita,direita,pequeno de direita
PHS,Partido Humanista Da Solidariedade,direita,direita,pequeno fisiologico
PSOL,Partido Socialismo E Liberdade,esquerda,esquerda,pequeno de esquerda
PP,Partido Progressista,direita,direita,grande de direita
PRONA,Partido De Reedificacao Da Ordem Nacional,direita,direita,pequeno de direita
PRB,Partido Republicano Brasileiro,direita,direita,pequeno de direita
DEM,Democratas,direita,direita,grande de direita
PR,Partido Da Republica,direita,centro-direita,grande de direita
PEN,Partido Ecologico Nacional,direita,direita,pequeno de direita
PSD(K),Partido Social Democratico,direita,direita,grande de direita
SD,Solidariedade,direita,centro-direita,pequeno de direita
PROS,Partido Republicano Da Ordem Social,centro,centro,pequeno fisiologico
PPL,Partido Patria Livre,esquerda,esquerda,pequeno de esquerda
