tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao
PEC,1,2015,1,Aprovada. em primeiro turno. a Emenda Aglutinativa Substitutiva Global nº 1. Sim: 402.; não: 1; total: 403.,22/3/2016,76200,EMENDA AGLUTINATIVA Nº 1,5820
PL,10,2015,1,Rejeitado o Requerimento. Sim: 147; não: 201; abstenção: 1; total: 349.,20/8/2015,43320,REQUERIMENTO DE RETIRADA DE PAUTA,5633
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,69240,SUBEMENDA SUBSTITUTIVA GLOBAL,5639
PLP,106,2011,1,Aprovada Emenda Substitutiva Global de Plenário nº 2. Sim: 445; total: 445.,26/8/2015,73860,EMENDA SUBSTITUTIVA GLOBAL Nº 2,5640
REQ,10903,2014,1,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 270; não: 15; abstenção: 1; total: 286.,9/9/2015,58560,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 1.462/2007,5655
REQ,10906,2014,1,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 385; não: 3; total: 388.,31/5/2016,78060,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7922/2014,5894
PEC,11,2015,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 11 de 2015. Sim: 448; não: 3; total: 451.,23/2/2016,73260,PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO,5785
PEC,11,2015,2,Aprovada. em segundo turno. a Proposta de Emenda à Constituição nº 11 de 2015. Sim: 384; não: 26; abstenção: 7; total:  417.,22/3/2016,65340,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,5820
REQ,1219,2015,1,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 106; não: 311; abstenção: 3; total: 420.,6/10/2015,66180,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6.726/2013,5686
PLP,124,2015,1,Aprovadas as Emendas de Plenário de nºs 3 e 5. com pareceres pela aprovação. Sim: 338; não: 2; total: 340.,23/9/2015,63720,EMENDAS DE PLENÁRIO DE NºS 3 E 5 COM PARECER FAVORÁVEL,5671
PLP,124,2015,2,Aprovado o Projeto de Lei Complementar nº 124 de 2015. Sim: 355; não: 32; abstenção: 1; total: 388.,23/9/2015,64980,PROJETO DE LEI COMPLEMENTAR,5671
PDC,1287,2013,1,Rejeitado o Requerimento. Sim: 155; não: 198; abstenção: 1; total: 354.,19/3/2015,63060,REQUERIMENTO DE RETIRADA DE PAUTA,5474
PLP,13,2015,1,Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.,16/4/2015,61920,PROJETO DE LEI COMPLEMENTAR,5502
PRC,134,2016,1,Rejeitado o Requerimento de Inversão de Pauta. Sim: 4; Não: 254; Abstenção: 2; Total: 260.,27/4/2016,57120,REQUERIMENTO DE INVERSÃO DE PAUTA PARA O PRC Nº 8/2007,5861
PRC,134,2016,2,Aprovado o Destaque de preferência para a Emenda nº 8. Sim: 216; não: 158; abstenção: 1; total: 375.,27/4/2016,62160,DTQ 5 - PSB - PREFERÊNCIA PARA A EMENDA Nº 8,5861
PRC,134,2016,3,Aprovada a Emenda nº 8. Sim: 256; não: 153; abstenção: 2; total: 411. ressalvados os destaques.,27/4/2016,64560,EMENDA DE PLENÁRIO Nº 8,5861
PRC,134,2016,4,Rejeitada a Emenda nº 6 ao Projeto de Resolução nº 134 de 2016. Sim: 189; Não: 221; Total: 410.,27/4/2016,66840,DTQ 1 - PCdoB - EMENDA Nº 6,5862
PLN,14,2016,1,NA,18/10/2016,75960,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE ENCERRAMENTO DA DISCUSSÃO.,6033
PDC,1410,2013,1,NA,5/2/2015,44520,REQUERIMENTO DE RETIRADA DE PAUTA,5438
PLP,163,2015,1,Aprovado o Projeto de Lei Complementar. Sim: 402; abstenções: 2; Total: 404.,8/2/2017,65160,PROJETO DE LEI COMPLEMENTAR,6111
REQ,1681,2015,1,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 313; não: 132; total: 445.DCD de 01/07/15 PÁG 91 COL 01,30/6/2015,63180,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 1358/2015,5586
PEC,171,1993,1,Rejeitado o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 171 de 1993. Sim: 303; não: 184; abstenções: 3; total: 490.,30/6/2015,960,SUBSTITUTIVO DA COMISSÃO ESPECIAL,5587
PEC,171,1993,2,Rejeitado o Requerimento. Sim: 159; não: 304; abstenção: 2; total: 465.,1/7/2015,69960,REQUERIMENTO DE RETIRADA DE PAUTA,5589
PEC,171,1993,3,Aprovado o destaque de preferência. Sim: 323; não: 155; abstenção: 1; total: 475.,1/7/2015,76080,REQ. DE PREFERÊNCIA PARA A EMENDA AGLUTINATIVA Nº 16,5589
PEC,171,1993,4,Rejeitado o Requerimento. Sim: 156; não: 299; total: 455.,1/7/2015,79080,REQUERIMENTO DE RETIRADA DE PAUTA,5590
PEC,171,1993,5,Aprovada a Emenda Aglutinativa nº 16. Sim: 323; não: 155; abstenção: 2; total: 480.,1/7/2015,180,EMENDA AGLUTINATIVA Nº 16,5590
PEC,171,1993,6,Rejeitado o Requerimento. Sim: 37; não:419; total: 456.,19/8/2015,70200,REQUERIMENTO DE RETIRADA DE PAUTA,5632
PEC,171,1993,7,Aprovada. em segundo turno. a Proposta de Emenda à Constituição nº 171 de 1993. Sim: 320; não: 152; abstenção:1; total: 473.,19/8/2015,73500,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,5632
PEC,172,2012,1,Aprovado. em primeiro turno. o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 172 de 2012. Sim: 379; não: 49; total: 435.,2/9/2015,77640,SUBSTITUTIVO DA COMISSÃO ESPECIAL,5649
PEC,172,2012,2,Mantido o texto. Sim: 350; não: 71; abstenções: 2; total: 423.,2/9/2015,78660,DTQ. 4 : PCdoB -  §7º DO ART. 167. CONST. DO ART. 1º DO SUBSTITUTIVO,5649
PEC,172,2012,3,Suprimido o texto. Sim: 54; não: 366; abstenções: 4; total: 424.,2/9/2015,79440,DTQ. 3: PT -  §9º DO ART. 167. DA CF. CONST. DO ART. 1º DO SUBSTITUTIVO...,5649
PEC,172,2012,4,Aprovada. em segundo turno. a Proposta de Emenda à Constituição nº 172 de 2012. ressalvados os destaques. Sim: 381; não: 40; abstenções: 7; total: 428.,22/9/2015,71940,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,5668
PEC,172,2012,5,Mantido o texto destacado. Sim: 357; não: 89; abstenção: 1; total: 447.,23/9/2015,67320,DTQ 1: PCdoB - § 7º DO ART 167. CONST. DO ART. 1º DO SUBSTITUTIVO,5671
PEC,172,2012,6,NA,23/9/2015,70260,"DTQ 2: PPS - EXP. ""E 198. §5º"" CONST. DO § 7º DO ART. 167 DA CONST. FEDERAL",5671
PLP,177,2012,1,Aprovado o Substitutivo adotado pela Comissão de Finanças e Tributação ao Projeto de Lei Complementar nº 177 de 2012. Sim: 442; não: 22; abstenção: 02; total: 466.,24/2/2015,67380,SUBSTITUTIVO DA CFT,5450
PEC,182,2007,1,Rejeitada a Emenda Aglutinativa nº 4. Sim: 21; não: 402; abstenção: 2; total: 425.,26/5/2015,65940,EMENDA AGLUTINATIVA Nº 4,5544
PEC,182,2007,2,Rejeitada a Emenda Aglutinativa nº 2. Sim: 99; não: 369; abstenção: 2; total: 470.,26/5/2015,69660,EMENDA AGLUTINATIVA Nº 2,5544
PEC,182,2007,3,Rejeitado o artigo 1º do Substitutivo. Sim: 210; não: 267; abstenção: 5; total: 482.,26/5/2015,78540,ART. 1º DO SUBSTITUTIVO,5545
PEC,182,2007,4,Rejeitada a Emenda Aglutinativa nº 22. Sim: 264; não: 207; abstenção: 4; total: 475.,26/5/2015,85980,EMENDA AGLUTINATIVA Nº 22,5545
PEC,182,2007,5,Rejeitada a Emenda Aglutinativa nº 10. Sim: 164; não: 240; abstenção: 66; total: 470.,27/5/2015,69660,EMENDA AGLUTINATIVA Nº 10,5547
PEC,182,2007,6,Rejeitada a Emenda Aglutinativa nº 32. Sim: 56; não: 343; abstenção: 58; total: 457.,27/5/2015,72540,EMENDA AGLUTINATIVA Nº 32,5547
PEC,182,2007,7,Aprovada a Emenda Aglutinativa nº 28. Sim: 330; não: 141; abstenção: 1; total: 472.,27/5/2015,76080,EMENDA AGLUTINATIVA Nº 28,5547
PEC,182,2007,8,Aprovado o art. 3º do Substitutivo oferecido pelo Relator da Comissão Especial. Sim: 452; não: 19; abstenção: 1; total: 472.,27/5/2015,83340,ARTIGO 3º DO SUBSTITUTIVO - FIM DA REELEIÇÃO,5548
PEC,182,2007,9,Rejeitado o requerimento de destaque de preferência. Sim: 38; não: 219; total: 257.,28/5/2015,55740,REQUERIMENTO DE PREFERÊNCIA PARA A EMENDA AGLUTINATIVA Nº 40,5549
PEC,182,2007,10,Rejeitado o artigo destacado. Sim: 206; não: 236; abstenção: 5; total: 447.,28/5/2015,62160,DTQ 18 - PSDB - ART. 1º DA PEC 14/2015,5549
PEC,182,2007,11,Aprovado o artigo 5º do Substitutivo oferecido pelo Relator da Comissão Especial. Sim: 369; não: 39; abstenção: 5; total: 413.,28/5/2015,66540,ARTIGO 5º DO SUBSTITUTIVO,5550
PEC,182,2007,12,Rejeitado o requerimento de destaque de preferência. Sim: 114; não: 268; abstenção: 2; total: 384 (votação nominal anunciada de ofício).,10/6/2015,66060,DTQ 27 - PMDB - PREFERÊNCIA PARA A PEC 444/2014,5562
PEC,182,2007,13,Rejeitado o artigo 8º do Substitutivo. Sim: 134; não: 311; abstenção: 3; total: 448.,10/6/2015,69540,ARTIGO 8º DO SUBSTITUTIVO  - VOTO FACULTATIVO,5562
PEC,182,2007,14,Aprovada a Emenda Aglutinativa nº 48. Sim: 348; não: 110; abstenção: 3; total: 461.,10/6/2015,75480,EMENDA AGLUTINATIVA Nº 48,5562
PEC,182,2007,15,Rejeitada a Emenda Aglutinativa nº 54. Sim: 220; não: 225; abstenção: 3; total: 448.,10/6/2015,81480,EMENDA AGLUTINATIVA Nº 54,5563
PEC,182,2007,16,Aprovada a Emenda Aglutinativa nº 53. Sim: 419; não: 8; abstenção: 4; total: 431.,10/6/2015,82560,EMENDA AGLUTINATIVA Nº 53,5563
PEC,182,2007,17,Aprovada a Emenda nº 1. Sim: 337; não: 73; abstenção: 2; total: 412.,11/6/2015,43200,DTQ 16 -  SOLIDARIEDADE - EMENDA Nº 1,5564
PEC,182,2007,18,Aprovado o art. 10 do Substitutivo oferecido pelo Relator da Comissão Especial. Sim: 363; não: 48; abstenção: 1; total: 412.,11/6/2015,45780,ARTIGO 10º DO SUBSTITUTIVO - LIMITE MÍNIMO DE IDADE,5564
PEC,182,2007,19,Aprovado o art. 7º do Substitutivo oferecido pelo Relator da Comissão Especial. com a alteração proposta em Complementação de Voto. Sim: 386; não: 10; abstenção: 9; total: 405.,11/6/2015,49020,ART. 7º  DO SUBSTITUTIVO - POSSE DO PRESIDENTE E GOVERNADORES,5564
PEC,182,2007,20,Rejeitada a Emenda Aglutinativa nº 57. Sim: 293; não: 101; abstenção: 53; tota: 447.,16/6/2015,68820,EMENDA AGLUTINATIVA Nº 57,5569
PEC,182,2007,21,Aprovada a Emenda Aglutinativa nº 60. Sim: 433; não: 7; abstenção: 2; total: 442.,16/6/2015,72240,EMENDA AGLUTINATIVA Nº 60,5569
PEC,182,2007,22,Rejeitado o art. 14 do Substitutivo oferecido pelo Relator da Comissão Especial. Sim: 157; não: 277; abstenção: 7; total: 441.,16/6/2015,75300,ARTIGO 14 DO SUBSTITUTIVO - FEDERAÇÃO PARTIDÁRIA,5569
PEC,182,2007,23,Rejeitada a Emenda nº 8 apresentada na Comissão Especial. Sim: 60; não: 357; abstenção: 3; total: 420.,16/6/2015,76980,DTQ 3 -  PPS - EMENDA Nº 8,5569
PEC,182,2007,24,Rejeitada Emenda Aglutinativa nº 56. Não: 404; abstenção: 9; total: 413.,16/6/2015,78960,EMENDA AGLUTINATIVA Nº 56,5569
PEC,182,2007,25,Aprovado o texto destacado. Sim: 392; não: 43; abstenção: 15; total: 450.,16/6/2015,80520,DTQ 25 : PR - INCISO III DO § 8º OFERECIDO AO ART. 14 DA CF,5570
PEC,182,2007,26,Aprovada a Emenda Aglutinativa nº 29. Sim: 317; não: 139; abstenção: 6; total: 462.,17/6/2015,72300,EMENDA AGLUTINATIVA Nº 29,5572
PEC,182,2007,27,Rejeitada a Emenda nº 7 apresentada na Comissão Especial. Sim: 89; não: 230; abstenção: 9; total: 328.,17/6/2015,75780,DTQ 30: PSD - EMENDA Nº 7,5572
PEC,182,2007,28,Rejeitada a Emenda Aglutinativa nº 59. Sim: 4; não: 334; abstenção: 2; total: 340.,17/6/2015,77700,EMENDA AGLUTINATIVA Nº 59,5572
PEC,182,2007,29,Aprovada. em segundo turno. a Proposta de Emenda à Constituição nº 182 de 2007. ressalvados os destaques. Sim: 420; não: 30; abstenção: 1; total: 451.,7/7/2015,75960,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,5596
PEC,182,2007,30,Rejeitada em globo a admissibilidade dos destaques simples. Sim: 132; não: 274; abstenção: 2; total: 408.,15/7/2015,60600,ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,5607
PEC,182,2007,31,Mantida a expressão destacada. Sim: 410; não: 2; abstenção: 1; total: 413.,15/7/2015,62460,"DTQ  2: DEM - EXP.: ""PRESIDENTE DA REPÚBLICA"" CONST. DO § 5º DO ART 14 DA CF",5607
